CustomerID,CustomerName,EmailAddress,PhoneNumber,Address
1,Amalia Velasquez,Amalia.Velasquez@test.com,9876543210,123 Main St.
2,Sullivan Corona,Sullivan.Corona@test.com,12345AB789,45% Wall@Street!
3,Marianna Cross,Marianna.Cross@test.com,9876-543-210,"#56, Elm Street"
4,Fabian Moore,Fabian.Moore@test.com,9876543210,123 Main St.
5,Emily Banks,Emily.Banks@,12345AB789,45% Wall@Street!
6,Martin Stafford,Martin.Stafford@test.com,9876-543-210,"#56, Elm Street"
7,Bridget Magana,Bridget.Magana@test.com,9876543210,123 Main St.
8,Rey Keller,Rey.Keller@test.com,12345AB789,45% Wall@Street!
9,Logan Sanford,Logan.Sanford@test.com,9876-543-210,"#56, Elm Street"
10,Truett Alexander,Truett.Alexander@test.com,9876543210,123 Main St.
11,Lyla Rush,Lyla.Rush@test.com,12345AB789,45% Wall@Street!
12,Kaiser Watkins,Kaiser.Watkins@test,9876-543-210,"#56, Elm Street"
13,Lola Byrd,Lola.Byrd@test.com,9876543210,123 Main St.
14,Cristian Anderson,Cristian.Anderson@test.com,12345AB789,45% Wall@Street!
15,Ella Williams,Ella.Williams@test.com,9876-543-210,"#56, Elm Street"
16,Oliver English,Oliver.Englishtest.com,9876543210,123 Main St.
17,Kelly O’Neill,Kelly.O’Neill@test.com,12345AB789,45% Wall@Street!
18,Marcel Lawson,Marcel.Lawson@test.com,9876-543-210,"#56, Elm Street"
19,Phoebe Patterson,Phoebe.Patterson@test.com,9876543210,123 Main St.
20,Amir Norton,Amir.Norton@test.com,12345AB789,45% Wall@Street!
21,Kylee Cabrera,Kylee.Cabrera@test.com,9876-543-210,"#56, Elm Street"
22,Cade Glover,Cade.Glover@test.com,9876543210,123 Main St.
23,Alessia Gaines,Alessia.Gaines@test.com,12345AB789,45% Wall@Street!
24,Talon Cunningham,Talon.Cunningham@test.com,9876-543-210,"#56, Elm Street"
